case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s1208,4,0.0,0.0,
s1226,1,0.0,0.0,
s1226,2,0.2878470847706837,0.2733305682289506,
s1226,3,0.0364928909952606,0.1386562110140795,
s1226,4,0.000221979102253,0.0001791352247027,
s1226,5,0.0346716777386655,0.0619446814918929,
s1292,1,0.0,0.0,
s1292,2,0.0,0.0,
s1292,3,0.7413303490242709,0.6604112386451658,
s1292,4,0.7096864038714282,0.693708954084112,
s1334,1,0.0,0.0,
s1334,2,0.270240227258692,0.2701188903566711,
s1334,3,0.0064870259481037,0.0265286315108379,
s1334,4,0.0290459051588053,0.1103915394213059,
s1334,5,0.0,0.0,
s1334,6,0.0692419401684577,0.080389170065353,
s1344,1,0.6471691265424631,0.6394058540847531,
s1344,2,0.0222612770943175,0.080294412847106,
s1344,3,0.0011904761904761,0.0089050799433313,
s1344,4,0.0,0.0,
s1349,1,0.0,0.0,
s1349,2,0.0,0.0,
s1349,3,0.0,0.0,
s1357,1,0.1279152400025841,0.0185249307479224,
s1359,1,0.0,0.0,
s1369,1,0.0,0.0,
s1369,2,0.0,0.0,
s1371,1,0.0,0.0,
s1371,2,0.0,0.0,
s1371,3,0.1456615626226933,0.2342991820324414,
s1378,1,0.5459685446944057,0.5385637258732515,
s1378,2,0.0,0.0,
s1380,1,0.0,0.0,
s1380,2,0.0,0.0,
s1380,3,0.0,0.0,
s1384,1,0.6119730971565559,0.5721009356393536,
s1384,2,0.6481553904314953,0.585878962536023,
s1384,3,0.0,0.0,
s1384,4,0.0,0.0,
s1384,5,0.0010596026490066,0.0015097188148707,
s1384,6,0.0,0.0,
s1384,7,0.0,0.0,
s1388,1,0.0,0.0,
s1397,1,0.0,0.0,
s1397,2,0.0,0.0,
s1397,3,0.2375745526838966,0.1905105538517048,
s1397,4,0.0,0.0,
s1397,5,0.0018115942028985,0.0002762049440684,
s1397,6,0.0,0.0,
s1397,7,0.0764104842292314,0.1458471446159674,
s1399,1,0.1159420289855072,0.0710190810302045,
